Date,CF_In:Interest,CF_In:Principal
2014-05-01,0.0,0.0
2014-06-01,0.0,0.0
2014-07-01,0.0,0.0
2014-08-01,2.6178082191780825,0.0
2014-09-01,0.0,0.0
2014-10-01,0.0,0.0
2014-11-01,2.646575342465754,0.0
2014-12-01,0.0,0.0
2015-01-01,0.0,0.0
2015-02-01,2.646575342465754,0.0
2015-03-01,0.0,0.0
2015-04-01,0.0,0.0
2015-05-01,2.589041095890411,100.0
2015-06-01,0.0,0.0
2015-07-01,0.0,0.0
2015-08-01,1.371232876712329,0.0
2015-09-01,0.0,0.0
2015-10-01,0.0,0.0
2015-11-01,1.3863013698630138,0.0
2015-12-01,0.0,0.0
2016-01-01,0.0,0.0
2016-02-01,1.3863013698630138,0.0
2016-03-01,0.0,0.0
2016-04-01,0.0,0.0
2016-05-01,1.371232876712329,100.0
2016-06-01,0.0,0.0
2016-07-01,0.0,0.0
2016-08-01,0.0,0.0
2016-09-01,0.0,0.0
2016-10-01,0.0,0.0
2016-11-01,0.0,0.0
2016-12-01,0.0,0.0
2017-01-01,0.0,0.0
2017-02-01,0.0,0.0
2017-03-01,0.0,0.0
2017-04-01,0.0,0.0
2017-05-01,0.0,0.0
2017-06-01,0.0,0.0
2017-07-01,0.0,0.0
2017-08-01,0.0,0.0
2017-09-01,0.0,0.0
2017-10-01,0.0,0.0
2017-11-01,0.0,0.0
2017-12-01,0.0,0.0
2018-01-01,0.0,0.0
2018-02-01,0.0,0.0
2018-03-01,0.0,0.0
2018-04-01,0.0,0.0
2018-05-01,0.0,0.0
2018-06-01,0.0,0.0
2018-07-01,0.0,0.0
2018-08-01,0.0,0.0
2018-09-01,0.0,0.0
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,0.0,0.0
2019-01-01,0.0,0.0
2019-02-01,0.0,0.0
2019-03-01,0.0,0.0
2019-04-01,0.0,0.0
